date,cases,url,deaths2,rep_pos_rate2,in_hospital
6/7/2020,390,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-7-2020,12,NA,NA
6/8/2020,542,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-8-2020,4,NA,NA
6/9/2020,434,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-9-2020,8,NA,NA
6/10/2020,528,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-10-2020,8,NA,NA
6/11/2020,687,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-11-2020,3,NA,NA
6/12/2020,770,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-12-2020,6,NA,NA
6/13/2020,770,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-13-2020,7,NA,NA
6/14/2020,799,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-14-2020,5,NA,NA
6/15/2020,582,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-15-2020,10,NA,NA
6/16/2020,595,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-16-2020,14,NA,NA
6/17/2020,577,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-17-2020,6,NA,NA
6/18/2020,987,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-18-2020,6,NA,NA
6/19/2020,1081,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-19-2020,4,NA,NA
6/20/2020,1157,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-20-2020,8,NA,NA
6/21/2020,907,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-21-2020,12,NA,NA
6/22/2020,1002,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-22-2020,11,NA,NA
6/23/2020,890,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-23-2020,9,NA,NA
